Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

PASS audit depart basic/13
OUTLIER MOVE stage=22 p=(14850.17, -6054.928) target=(14988.01, -6024.0) direction=(0.997007, -0.077316) hp=7.5 damage=28 gun=0
OUTLIER MOVE stage=22 p=(14860.17, -6054.928) target=(14988.01, -6024.0) direction=(0.998541, -0.054007) hp=7.5 damage=28 gun=0
OUTLIER MOVE stage=22 p=(14878.43, -6054.944) target=(14988.01, -6024.0) direction=(0.9982, -0.059974) hp=7.5 damage=28 gun=0
OUTLIER MOVE stage=22 p=(14894.85, -6054.995) target=(14688.0, -6184.0) direction=(-0.997717, -0.067527) hp=7.5 damage=29 gun=0
OUTLIER MOVE stage=22 p=(14878.32, -6054.902) target=(14688.0, -6184.0) direction=(-0.997074, -0.076444) hp=7.5 damage=29 gun=0
OUTLIER MOVE stage=22 p=(14863.52, -6054.756) target=(14660.83, -5976.0) direction=(-0.996806, -0.079864) hp=7.5 damage=29 gun=0
OUTLIER MOVE stage=22 p=(14858.76, -6054.837) target=(14665.82, -5976.0) direction=(-0.994212, -0.107435) hp=7.5 damage=29 gun=0
OUTLIER MOVE stage=22 p=(14850.41, -6051.426) target=(14976.0, -5976.0) direction=(0.765405, 0.643549) hp=7.5 damage=29 gun=0
OUTLIER MOVE stage=22 p=(14860.8, -6040.93) target=(14976.0, -5976.0) direction=(0.750121, 0.6613) hp=7.5 damage=30 gun=0
OUTLIER MOVE stage=22 p=(14863.34, -6038.407) target=(14707.44, -6164.551) direction=(-0.657221, -0.753698) hp=7.5 damage=31 gun=0
OUTLIER MOVE stage=22 p=(14845.85, -6055.925) target=(14716.29, -6155.711) direction=(-0.652741, -0.757581) hp=7.5 damage=31 gun=0
OUTLIER MOVE stage=22 p=(14834.19, -6067.604) target=(14718.38, -6185.616) direction=(-0.665612, -0.746298) hp=7.5 damage=32 gun=0
OUTLIER MOVE stage=22 p=(14822.57, -6079.207) target=(14718.38, -6185.616) direction=(-0.931787, -0.363007) hp=7.5 damage=32 gun=0
OUTLIER MOVE stage=22 p=(14812.13, -6089.629) target=(14649.43, -6190.57) direction=(-0.644986, -0.764194) hp=7.5 damage=33 gun=0
OUTLIER MOVE stage=22 p=(14808.8, -6093.025) target=(14652.96, -6187.034) direction=(-0.625592, -0.78015) hp=7.5 damage=33 gun=0
OUTLIER MOVE stage=22 p=(14798.4, -6103.501) target=(14656.5, -6183.498) direction=(-0.657653, -0.753321) hp=7.5 damage=33 gun=0
OUTLIER MOVE stage=22 p=(14786.76, -6115.204) target=(14645.89, -5997.894) direction=(-0.858534, 0.512756) hp=7.5 damage=35 gun=0
OUTLIER MOVE stage=22 p=(14775.17, -6103.57) target=(14650.02, -6002.019) direction=(-0.829989, 0.55778) hp=7.5 damage=35 gun=0
OUTLIER MOVE stage=22 p=(14763.51, -6091.886) target=(14650.02, -6002.019) direction=(-0.501024, 0.865434) hp=7.5 damage=35 gun=0
OUTLIER MOVE stage=22 p=(14757.69, -6086.041) target=(14650.02, -6002.019) direction=(-0.839419, 0.543485) hp=7.5 damage=35 gun=0
OUTLIER MOVE stage=22 p=(14747.29, -6075.564) target=(14640.0, -6008.0) direction=(-0.499827, 0.866126) hp=7.5 damage=36 gun=0
OUTLIER MOVE stage=22 p=(14735.72, -6063.896) target=(14640.0, -6008.0) direction=(-0.549687, 0.83537) hp=7.5 damage=36 gun=0
OUTLIER MOVE stage=22 p=(14725.34, -6053.396) target=(14640.0, -6264.0) direction=(-0.27594, -0.961175) hp=7.5 damage=37 gun=0
OUTLIER MOVE stage=22 p=(14718.27, -6060.469) target=(14640.0, -6264.0) direction=(0.148488, -0.988914) hp=7.5 damage=37 gun=0
OUTLIER MOVE stage=22 p=(14718.33, -6076.978) target=(14640.0, -6264.0) direction=(0.150221, -0.988653) hp=7.5 damage=37 gun=0
